,Name,Country,Runs,Mins,BF,4s,6s,SR,POS,Dismissal,Inns,Opposition,Ground,Date
1700,Rahul Dravid,India,34,149,110,5,0,30.90,3,lbw,3,v South Africa,Ahmedabad,20 Nov 1996
1701,Rahul Dravid,India,31,78,48,5,0,64.58,2,caught,2,v South Africa,Kolkata,27 Nov 1996
1702,Rahul Dravid,India,23,191,127,3,0,18.11,2,bowled,4,v South Africa,Kolkata,27 Nov 1996
1703,Rahul Dravid,India,7,64,55,0,0,12.72,5,lbw,1,v South Africa,Kanpur,8 Dec 1996
1704,Rahul Dravid,India,56,181,130,8,0,43.07,7,caught,3,v South Africa,Kanpur,8 Dec 1996
1705,Rahul Dravid,India,7,31,23,0,0,30.43,6,lbw,2,v South Africa,Durban,26 Dec 1996
1706,Rahul Dravid,India,27*,120,73,5,0,36.98,6,not out,4,v South Africa,Durban,26 Dec 1996
1707,Rahul Dravid,India,2,55,41,0,0,4.87,2,bowled,2,v South Africa,Cape Town,2 Jan 1997
1708,Rahul Dravid,India,12,69,48,1,0,25.00,3,caught,4,v South Africa,Cape Town,2 Jan 1997
1709,Rahul Dravid,India,148,541,362,21,0,40.88,3,caught,1,v South Africa,Johannesburg,16 Jan 1997
1710,Rahul Dravid,India,81,208,146,11,0,55.47,3,caught,3,v South Africa,Johannesburg,16 Jan 1997
1711,Rahul Dravid,India,43,202,149,5,0,28.85,3,caught,2,v West Indies,Kingston,6 Mar 1997
1712,Rahul Dravid,India,51*,161,141,5,0,36.17,3,not out,4,v West Indies,Kingston,6 Mar 1997
1713,Rahul Dravid,India,57,268,182,4,0,31.31,3,bowled,2,v West Indies,Port of Spain,14 Mar 1997
1714,Rahul Dravid,India,78,372,243,8,0,32.09,3,bowled,2,v West Indies,Bridgetown,27 Mar 1997
1715,Rahul Dravid,India,2,36,21,0,0,9.52,3,caught,4,v West Indies,Bridgetown,27 Mar 1997
1716,Rahul Dravid,India,37*,133,106,3,0,34.90,3,not out,2,v West Indies,St John's,4 Apr 1997
1717,Rahul Dravid,India,92,380,295,8,1,31.18,3,caught,1,v West Indies,Georgetown,17 Apr 1997
1718,Rahul Dravid,India,69,250,197,10,0,35.02,3,caught,1,v Sri Lanka,Colombo (RPS),2 Aug 1997
1719,Rahul Dravid,India,2,18,9,0,0,22.22,3,caught,2,v Sri Lanka,Colombo (SSC),9 Aug 1997
1720,Rahul Dravid,India,6,67,46,0,0,13.04,3,caught,4,v Sri Lanka,Colombo (SSC),9 Aug 1997
1721,Rahul Dravid,India,34,149,117,4,0,29.05,3,caught,2,v Sri Lanka,Mohali,19 Nov 1997
1722,Rahul Dravid,India,92,330,221,10,1,41.62,3,caught,1,v Sri Lanka,Nagpur,26 Nov 1997
1723,Rahul Dravid,India,93,302,219,14,0,42.46,3,caught,1,v Sri Lanka,Mumbai,3 Dec 1997
1724,Rahul Dravid,India,85,153,121,8,0,70.24,3,caught,3,v Sri Lanka,Mumbai,3 Dec 1997
1725,Rahul Dravid,India,52,241,169,5,0,30.76,3,caught,1,v Australia,Chennai,6 Mar 1998
1726,Rahul Dravid,India,56,214,149,7,0,37.58,3,caught,3,v Australia,Chennai,6 Mar 1998
1727,Rahul Dravid,India,86,209,150,12,0,57.33,3,caught,2,v Australia,Kolkata,18 Mar 1998
1728,Rahul Dravid,India,23,131,94,4,0,24.46,3,bowled,1,v Australia,Bengaluru,25 Mar 1998
1729,Rahul Dravid,India,6,63,31,0,0,19.35,3,caught,3,v Australia,Bengaluru,25 Mar 1998
1730,Rahul Dravid,India,118,423,300,17,0,39.33,4,caught,2,v Zimbabwe,Harare,7 Oct 1998
1731,Rahul Dravid,India,44,191,115,3,0,38.26,3,caught,4,v Zimbabwe,Harare,7 Oct 1998
1732,Rahul Dravid,India,0,8,6,0,0,0.00,3,lbw,1,v New Zealand,Wellington,26 Dec 1998
1733,Rahul Dravid,India,28,102,77,5,0,36.36,3,bowled,3,v New Zealand,Wellington,26 Dec 1998
1734,Rahul Dravid,India,190,490,354,31,0,53.67,3,caught,2,v New Zealand,Hamilton,2 Jan 1999
1735,Rahul Dravid,India,103*,163,136,16,0,75.73,3,not out,4,v New Zealand,Hamilton,2 Jan 1999
1736,Rahul Dravid,India,53,152,113,5,1,46.90,3,lbw,2,v Pakistan,Chennai,28 Jan 1999
1737,Rahul Dravid,India,10,110,55,1,0,18.18,3,bowled,4,v Pakistan,Chennai,28 Jan 1999
1738,Rahul Dravid,India,33,139,101,4,0,32.67,3,lbw,1,v Pakistan,Delhi,4 Feb 1999
1739,Rahul Dravid,India,29,121,72,2,0,40.27,3,caught,3,v Pakistan,Delhi,4 Feb 1999
1740,Rahul Dravid,India,24,108,93,2,0,25.80,4,bowled,2,v Pakistan,Kolkata,16 Feb 1999
1741,Rahul Dravid,India,13,54,33,1,0,39.39,3,caught,4,v Pakistan,Kolkata,16 Feb 1999
