,Name,Country,Runs,Mins,BF,4s,6s,SR,POS,Dismissal,Inns,Opposition,Ground,Date
125,Mahela Jayawardena,Sri Lanka,67,205,164,7,0,40.85,4,caught,4,v India,Delhi,10 Dec 2005
126,Mahela Jayawardena,Sri Lanka,0,1,1,0,0,0.00,4,caught,2,v India,Ahmedabad,18 Dec 2005
127,Mahela Jayawardena,Sri Lanka,57,138,106,7,0,53.77,4,caught,4,v India,Ahmedabad,18 Dec 2005
128,Mahela Jayawardena,Sri Lanka,30,52,40,4,1,75.00,4,caught,2,v Bangladesh,Chattogram,28 Feb 2006
129,Mahela Jayawardena,Sri Lanka,23*,30,25,4,0,92.00,4,not out,4,v Bangladesh,Chattogram,28 Feb 2006
130,Mahela Jayawardena,Sri Lanka,49,163,105,7,0,46.66,6,caught,2,v Bangladesh,Bogra,8 Mar 2006
131,Mahela Jayawardena,Sri Lanka,DNB,-,-,-,-,-,-,-,4,v Bangladesh,Bogra,8 Mar 2006
132,Mahela Jayawardena,Sri Lanka,1,30,20,0,0,5.00,4,caught,1,v Pakistan,Colombo (SSC),26 Mar 2006
133,Mahela Jayawardena,Sri Lanka,82,178,139,12,1,58.99,4,caught,3,v Pakistan,Colombo (SSC),26 Mar 2006
134,Mahela Jayawardena,Sri Lanka,4,42,23,0,0,17.39,4,caught,1,v Pakistan,Kandy,3 Apr 2006
135,Mahela Jayawardena,Sri Lanka,15,50,29,2,0,51.72,3,bowled,3,v Pakistan,Kandy,3 Apr 2006
136,Mahela Jayawardena,Sri Lanka,61,167,118,9,0,51.69,4,caught,2,v England,Lord's,11 May 2006
137,Mahela Jayawardena,Sri Lanka,119,366,220,12,0,54.09,4,caught,3,v England,Lord's,11 May 2006
138,Mahela Jayawardena,Sri Lanka,0,3,3,0,0,0.00,4,caught,1,v England,Birmingham,25 May 2006
139,Mahela Jayawardena,Sri Lanka,5,27,18,1,0,27.77,4,lbw,3,v England,Birmingham,25 May 2006
140,Mahela Jayawardena,Sri Lanka,0,13,9,0,0,0.00,4,caught,1,v England,Nottingham,2 Jun 2006
141,Mahela Jayawardena,Sri Lanka,45,118,84,5,0,53.57,4,caught,3,v England,Nottingham,2 Jun 2006
142,Mahela Jayawardena,Sri Lanka,374,752,572,43,1,65.38,4,bowled,2,v South Africa,Colombo (SSC),27 Jul 2006
143,Mahela Jayawardena,Sri Lanka,13,47,27,2,0,48.14,4,caught,2,v South Africa,Colombo (PSS),4 Aug 2006
144,Mahela Jayawardena,Sri Lanka,123,359,248,11,2,49.59,4,caught,4,v South Africa,Colombo (PSS),4 Aug 2006
145,Mahela Jayawardena,Sri Lanka,8,24,16,2,0,50.00,4,caught,1,v New Zealand,Christchurch,7 Dec 2006
146,Mahela Jayawardena,Sri Lanka,0,9,6,0,0,0.00,4,caught,3,v New Zealand,Christchurch,7 Dec 2006
147,Mahela Jayawardena,Sri Lanka,0,11,4,0,0,0.00,4,bowled,1,v New Zealand,Wellington,15 Dec 2006
148,Mahela Jayawardena,Sri Lanka,31,161,121,2,0,25.61,4,caught,3,v New Zealand,Wellington,15 Dec 2006
149,Mahela Jayawardena,Sri Lanka,127,201,159,18,1,79.87,4,caught,2,v Bangladesh,Colombo (SSC),25 Jun 2007
150,Mahela Jayawardena,Sri Lanka,49,118,106,5,1,46.22,4,caught,2,v Bangladesh,Colombo (PSS),3 Jul 2007
151,Mahela Jayawardena,Sri Lanka,165,273,210,15,3,78.57,4,caught,2,v Bangladesh,Kandy,11 Jul 2007
152,Mahela Jayawardena,Sri Lanka,14,49,35,2,0,40.00,4,caught,2,v Australia,Brisbane,8 Nov 2007
153,Mahela Jayawardena,Sri Lanka,49,144,119,5,0,41.17,4,caught,3,v Australia,Brisbane,8 Nov 2007
154,Mahela Jayawardena,Sri Lanka,104,271,194,13,0,53.60,4,caught,2,v Australia,Hobart,16 Nov 2007
155,Mahela Jayawardena,Sri Lanka,0,3,1,0,0,0.00,4,bowled,4,v Australia,Hobart,16 Nov 2007
156,Mahela Jayawardena,Sri Lanka,1,23,12,0,0,8.33,4,caught,1,v England,Kandy,1 Dec 2007
157,Mahela Jayawardena,Sri Lanka,65,148,108,9,0,60.18,4,caught,3,v England,Kandy,1 Dec 2007
158,Mahela Jayawardena,Sri Lanka,195,578,422,16,1,46.20,4,caught,2,v England,Colombo (SSC),9 Dec 2007
159,Mahela Jayawardena,Sri Lanka,213*,610,411,25,0,51.82,4,not out,1,v England,Galle,18 Dec 2007
160,Mahela Jayawardena,Sri Lanka,136,369,234,13,0,58.11,4,lbw,1,v West Indies,Providence,22 Mar 2008
161,Mahela Jayawardena,Sri Lanka,33,72,38,3,0,86.84,4,caught,3,v West Indies,Providence,22 Mar 2008
162,Mahela Jayawardena,Sri Lanka,26,-,41,5,0,63.41,4,bowled,1,v West Indies,Port of Spain,3 Apr 2008
163,Mahela Jayawardena,Sri Lanka,12,-,13,3,0,92.30,4,bowled,3,v West Indies,Port of Spain,3 Apr 2008
164,Mahela Jayawardena,Sri Lanka,136,375,259,10,1,52.50,4,caught,1,v India,Colombo (SSC),23 Jul 2008
165,Mahela Jayawardena,Sri Lanka,86,245,188,10,0,45.74,4,caught,2,v India,Galle,31 Jul 2008
166,Mahela Jayawardena,Sri Lanka,5,6,7,1,0,71.42,4,caught,4,v India,Galle,31 Jul 2008
167,Mahela Jayawardena,Sri Lanka,2,10,6,0,0,33.33,5,lbw,2,v India,Colombo (PSS),8 Aug 2008
168,Mahela Jayawardena,Sri Lanka,50*,103,85,3,0,58.82,4,not out,4,v India,Colombo (PSS),8 Aug 2008
