,Name,Country,Runs,Mins,BF,4s,6s,SR,POS,Dismissal,Inns,Opposition,Ground,Date
313,Sachin Tendulkar,India,DNB,-,-,-,-,-,-,-,4,v New Zealand,Auckland,22 Feb 1990
314,Sachin Tendulkar,India,10,30,19,1,0,52.63,6,bowled,2,v England,Lord's,26 Jul 1990
315,Sachin Tendulkar,India,27,93,65,4,0,41.53,6,caught,4,v England,Lord's,26 Jul 1990
316,Sachin Tendulkar,India,68,216,136,8,0,50.00,6,caught,2,v England,Manchester,9 Aug 1990
317,Sachin Tendulkar,India,119*,225,189,17,0,62.96,6,not out,4,v England,Manchester,9 Aug 1990
318,Sachin Tendulkar,India,21,39,30,3,0,70.00,7,caught,1,v England,The Oval,23 Aug 1990
319,Sachin Tendulkar,India,11,92,-,-,0,-,6,lbw,1,v Sri Lanka,Chandigarh,23 Nov 1990
320,Sachin Tendulkar,India,16,47,42,3,0,38.09,6,bowled,1,v Australia,Brisbane,29 Nov 1991
321,Sachin Tendulkar,India,7,36,25,1,0,28.00,6,caught,3,v Australia,Brisbane,29 Nov 1991
322,Sachin Tendulkar,India,15,33,23,0,0,65.21,7,caught,1,v Australia,Melbourne,26 Dec 1991
323,Sachin Tendulkar,India,40,122,107,5,0,37.38,7,caught,3,v Australia,Melbourne,26 Dec 1991
324,Sachin Tendulkar,India,148*,298,213,14,0,69.48,6,not out,2,v Australia,Sydney,2 Jan 1992
325,Sachin Tendulkar,India,6,20,8,1,0,75.00,6,lbw,2,v Australia,Adelaide,25 Jan 1992
326,Sachin Tendulkar,India,17,36,29,2,0,58.62,4,lbw,4,v Australia,Adelaide,25 Jan 1992
327,Sachin Tendulkar,India,114,228,161,16,0,70.80,4,caught,2,v Australia,Perth,1 Feb 1992
328,Sachin Tendulkar,India,5,12,9,1,0,55.55,4,caught,4,v Australia,Perth,1 Feb 1992
329,Sachin Tendulkar,India,0,4,3,0,0,0.00,4,caught,2,v Zimbabwe,Harare,18 Oct 1992
330,Sachin Tendulkar,India,11,35,24,1,0,45.83,4,run out,2,v South Africa,Durban,13 Nov 1992
331,Sachin Tendulkar,India,111,373,270,19,0,41.11,4,caught,2,v South Africa,Johannesburg,26 Nov 1992
332,Sachin Tendulkar,India,1,6,5,0,0,20.00,4,lbw,4,v South Africa,Johannesburg,26 Nov 1992
333,Sachin Tendulkar,India,6,27,17,1,0,35.29,4,caught,1,v South Africa,Port Elizabeth,26 Dec 1992
334,Sachin Tendulkar,India,0,1,1,0,0,0.00,4,caught,3,v South Africa,Port Elizabeth,26 Dec 1992
335,Sachin Tendulkar,India,73,272,208,8,1,35.09,5,caught,2,v South Africa,Cape Town,2 Jan 1993
336,Sachin Tendulkar,India,DNB,-,-,-,-,-,-,-,4,v South Africa,Cape Town,2 Jan 1993
337,Sachin Tendulkar,India,50,158,118,6,0,42.37,4,caught,1,v England,Kolkata,29 Jan 1993
338,Sachin Tendulkar,India,9*,17,19,2,0,47.36,4,not out,4,v England,Kolkata,29 Jan 1993
339,Sachin Tendulkar,India,165,361,296,24,1,55.74,4,caught,1,v England,Chennai,11 Feb 1993
340,Sachin Tendulkar,India,78,285,213,10,0,36.61,4,lbw,2,v England,Mumbai,19 Feb 1993
341,Sachin Tendulkar,India,62,128,114,7,0,54.38,4,caught,1,v Zimbabwe,Delhi,13 Mar 1993
342,Sachin Tendulkar,India,TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Kandy,17 Jul 1993
343,Sachin Tendulkar,India,28,74,52,5,0,53.84,4,caught,1,v Sri Lanka,Colombo (SSC),27 Jul 1993
344,Sachin Tendulkar,India,104*,217,161,11,1,64.59,4,not out,3,v Sri Lanka,Colombo (SSC),27 Jul 1993
345,Sachin Tendulkar,India,71,202,152,10,0,46.71,4,caught,2,v Sri Lanka,Colombo (PSS),4 Aug 1993
346,Sachin Tendulkar,India,142,260,224,22,0,63.39,4,caught,1,v Sri Lanka,Lucknow,18 Jan 1994
347,Sachin Tendulkar,India,96,180,140,15,0,68.57,4,bowled,1,v Sri Lanka,Bengaluru,26 Jan 1994
348,Sachin Tendulkar,India,6,25,14,1,0,42.85,4,bowled,2,v Sri Lanka,Ahmedabad,8 Feb 1994
349,Sachin Tendulkar,India,43,55,47,7,0,91.48,4,caught,2,v New Zealand,Hamilton,19 Mar 1994
350,Sachin Tendulkar,India,11*,57,42,0,0,26.19,4,not out,4,v New Zealand,Hamilton,19 Mar 1994
351,Sachin Tendulkar,India,34,70,43,7,0,79.06,4,lbw,1,v West Indies,Mumbai,18 Nov 1994
352,Sachin Tendulkar,India,85,178,130,10,1,65.38,5,caught,3,v West Indies,Mumbai,18 Nov 1994
353,Sachin Tendulkar,India,179,414,322,24,1,55.59,4,caught,1,v West Indies,Nagpur,1 Dec 1994
354,Sachin Tendulkar,India,54,180,138,3,0,39.13,4,caught,3,v West Indies,Nagpur,1 Dec 1994
355,Sachin Tendulkar,India,40,72,55,9,0,72.72,4,caught,2,v West Indies,Mohali,10 Dec 1994
356,Sachin Tendulkar,India,10,38,24,2,0,41.66,4,caught,4,v West Indies,Mohali,10 Dec 1994
357,Sachin Tendulkar,India,4,7,4,1,0,100.00,4,caught,2,v New Zealand,Bengaluru,18 Oct 1995
358,Sachin Tendulkar,India,0*,3,0,0,0,-,4,not out,4,v New Zealand,Bengaluru,18 Oct 1995
359,Sachin Tendulkar,India,52*,98,88,5,0,59.09,4,not out,1,v New Zealand,Chennai,25 Oct 1995
360,Sachin Tendulkar,India,2,8,8,0,0,25.00,4,bowled,1,v New Zealand,Cuttack,8 Nov 1995
361,Sachin Tendulkar,India,24,71,41,4,0,58.53,4,bowled,1,v England,Birmingham,6 Jun 1996
362,Sachin Tendulkar,India,122,263,177,19,1,68.92,4,caught,3,v England,Birmingham,6 Jun 1996
363,Sachin Tendulkar,India,31,81,59,5,0,52.54,4,bowled,2,v England,Lord's,20 Jun 1996
364,Sachin Tendulkar,India,177,462,360,26,0,49.16,4,caught,1,v England,Nottingham,4 Jul 1996
365,Sachin Tendulkar,India,74,111,97,11,1,76.28,4,caught,3,v England,Nottingham,4 Jul 1996
366,Sachin Tendulkar,India,10,12,11,2,0,90.90,4,caught,2,v Australia,Delhi,10 Oct 1996
367,Sachin Tendulkar,India,0,6,7,0,0,0.00,4,bowled,4,v Australia,Delhi,10 Oct 1996
368,Sachin Tendulkar,India,42,80,64,7,0,65.62,4,caught,1,v South Africa,Ahmedabad,20 Nov 1996
369,Sachin Tendulkar,India,7,43,33,1,0,21.21,4,caught,3,v South Africa,Ahmedabad,20 Nov 1996
370,Sachin Tendulkar,India,18,91,62,3,0,29.03,4,bowled,2,v South Africa,Kolkata,27 Nov 1996
371,Sachin Tendulkar,India,2,28,25,0,0,8.00,4,caught,4,v South Africa,Kolkata,27 Nov 1996
372,Sachin Tendulkar,India,61,211,173,4,1,35.26,4,caught,1,v South Africa,Kanpur,8 Dec 1996
373,Sachin Tendulkar,India,36,129,98,4,0,36.73,5,caught,3,v South Africa,Kanpur,8 Dec 1996
374,Sachin Tendulkar,India,15,58,45,2,0,33.33,4,bowled,2,v South Africa,Durban,26 Dec 1996
375,Sachin Tendulkar,India,4,32,25,1,0,16.00,4,caught,4,v South Africa,Durban,26 Dec 1996
376,Sachin Tendulkar,India,169,329,254,26,0,66.53,5,caught,2,v South Africa,Cape Town,2 Jan 1997
377,Sachin Tendulkar,India,9,38,28,1,0,32.14,5,caught,4,v South Africa,Cape Town,2 Jan 1997
378,Sachin Tendulkar,India,35,72,55,7,0,63.63,4,caught,1,v South Africa,Johannesburg,16 Jan 1997
379,Sachin Tendulkar,India,9,13,11,2,0,81.81,4,caught,3,v South Africa,Johannesburg,16 Jan 1997
380,Sachin Tendulkar,India,7,40,30,1,0,23.33,4,bowled,2,v West Indies,Kingston,6 Mar 1997
381,Sachin Tendulkar,India,15*,43,36,1,0,41.66,4,not out,4,v West Indies,Kingston,6 Mar 1997
382,Sachin Tendulkar,India,88,306,233,9,0,37.76,4,run out,2,v West Indies,Port of Spain,14 Mar 1997
383,Sachin Tendulkar,India,92,222,147,14,1,62.58,4,caught,2,v West Indies,Bridgetown,27 Mar 1997
384,Sachin Tendulkar,India,4,25,14,0,0,28.57,4,caught,4,v West Indies,Bridgetown,27 Mar 1997
385,Sachin Tendulkar,India,DNB,-,-,-,-,-,-,-,2,v West Indies,St John's,4 Apr 1997
386,Sachin Tendulkar,India,83,287,231,9,0,35.93,4,caught,1,v West Indies,Georgetown,17 Apr 1997
387,Sachin Tendulkar,India,143,292,247,20,0,57.89,4,caught,1,v Sri Lanka,Colombo (RPS),2 Aug 1997
388,Sachin Tendulkar,India,139,397,266,16,0,52.25,4,caught,2,v Sri Lanka,Colombo (SSC),9 Aug 1997
389,Sachin Tendulkar,India,8,43,44,1,0,18.18,4,caught,4,v Sri Lanka,Colombo (SSC),9 Aug 1997
390,Sachin Tendulkar,India,23,129,93,2,0,24.73,4,caught,2,v Sri Lanka,Mohali,19 Nov 1997
391,Sachin Tendulkar,India,15,38,20,1,1,75.00,4,bowled,1,v Sri Lanka,Nagpur,26 Nov 1997
392,Sachin Tendulkar,India,148,320,244,20,3,60.65,5,bowled,1,v Sri Lanka,Mumbai,3 Dec 1997
393,Sachin Tendulkar,India,13,28,16,1,0,81.25,4,caught,3,v Sri Lanka,Mumbai,3 Dec 1997
394,Sachin Tendulkar,India,4,7,5,1,0,80.00,4,caught,1,v Australia,Chennai,6 Mar 1998
395,Sachin Tendulkar,India,155*,286,191,14,4,81.15,4,not out,3,v Australia,Chennai,6 Mar 1998
396,Sachin Tendulkar,India,79,109,86,12,2,91.86,4,caught,2,v Australia,Kolkata,18 Mar 1998
397,Sachin Tendulkar,India,177,298,207,29,3,85.50,4,bowled,1,v Australia,Bengaluru,25 Mar 1998
398,Sachin Tendulkar,India,31,75,64,4,0,48.43,4,caught,3,v Australia,Bengaluru,25 Mar 1998
399,Sachin Tendulkar,India,34,103,68,3,0,50.00,5,caught,2,v Zimbabwe,Harare,7 Oct 1998
400,Sachin Tendulkar,India,7,27,14,0,0,50.00,4,caught,4,v Zimbabwe,Harare,7 Oct 1998
401,Sachin Tendulkar,India,47,95,72,7,0,65.27,5,caught,1,v New Zealand,Wellington,26 Dec 1998
402,Sachin Tendulkar,India,113,200,151,13,2,74.83,5,caught,3,v New Zealand,Wellington,26 Dec 1998
403,Sachin Tendulkar,India,67,118,93,9,1,72.04,4,lbw,2,v New Zealand,Hamilton,2 Jan 1999
404,Sachin Tendulkar,India,DNB,-,-,-,-,-,-,-,4,v New Zealand,Hamilton,2 Jan 1999
405,Sachin Tendulkar,India,0,5,3,0,0,0.00,4,caught,2,v Pakistan,Chennai,28 Jan 1999
406,Sachin Tendulkar,India,136,405,273,18,0,49.81,4,caught,4,v Pakistan,Chennai,28 Jan 1999
407,Sachin Tendulkar,India,6,13,11,1,0,54.54,4,lbw,1,v Pakistan,Delhi,4 Feb 1999
408,Sachin Tendulkar,India,29,99,65,4,0,44.61,4,caught,3,v Pakistan,Delhi,4 Feb 1999
409,Sachin Tendulkar,India,0,2,1,0,0,0.00,5,bowled,2,v Pakistan,Kolkata,16 Feb 1999
410,Sachin Tendulkar,India,9,18,13,1,0,69.23,4,run out,4,v Pakistan,Kolkata,16 Feb 1999
411,Sachin Tendulkar,India,53,94,54,10,0,98.14,4,caught,1,v Sri Lanka,Colombo (SSC),24 Feb 1999
412,Sachin Tendulkar,India,124*,308,235,10,1,52.76,4,not out,3,v Sri Lanka,Colombo (SSC),24 Feb 1999
413,Sachin Tendulkar,India,18,61,34,3,0,52.94,4,bowled,1,v New Zealand,Mohali,10 Oct 1999
414,Sachin Tendulkar,India,126*,397,248,14,0,50.80,4,not out,3,v New Zealand,Mohali,10 Oct 1999
415,Sachin Tendulkar,India,15,76,54,3,0,27.77,4,caught,2,v New Zealand,Kanpur,22 Oct 1999
416,Sachin Tendulkar,India,44*,58,39,8,0,112.82,4,not out,4,v New Zealand,Kanpur,22 Oct 1999
417,Sachin Tendulkar,India,217,494,344,29,0,63.08,4,caught,1,v New Zealand,Ahmedabad,29 Oct 1999
418,Sachin Tendulkar,India,15,16,10,3,0,150.00,2,bowled,3,v New Zealand,Ahmedabad,29 Oct 1999
419,Sachin Tendulkar,India,61,181,133,8,0,45.86,5,caught,2,v Australia,Adelaide,10 Dec 1999
420,Sachin Tendulkar,India,0,6,5,0,0,0.00,5,lbw,4,v Australia,Adelaide,10 Dec 1999
421,Sachin Tendulkar,India,116,283,191,9,1,60.73,4,caught,2,v Australia,Melbourne,26 Dec 1999
422,Sachin Tendulkar,India,52,162,122,4,0,42.62,4,lbw,4,v Australia,Melbourne,26 Dec 1999
423,Sachin Tendulkar,India,45,82,53,8,0,84.90,4,lbw,1,v Australia,Sydney,2 Jan 2000
424,Sachin Tendulkar,India,4,6,4,1,0,100.00,4,caught,3,v Australia,Sydney,2 Jan 2000
425,Sachin Tendulkar,India,97,208,163,12,2,59.50,4,caught,1,v South Africa,Mumbai,24 Feb 2000
426,Sachin Tendulkar,India,8,20,11,2,0,72.72,4,lbw,3,v South Africa,Mumbai,24 Feb 2000
